% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1132 +2.408207542e+04 +2.408207542e+04 +2.421417542e+04 +2.421417542e+04 +1.6285e+00 -4.8687e-01 -2.1811e+00 -2.7251e-01 +1.5192e+00 +1.2521e+00 -7.4442e-01 +4.6145e+00 +1.9495e+00 +2.8257e+00 +1.3429e+00 -2.2727e+00 +4.1164e+00 +1.8855e+00 +7.8019e-01 +2.6381e+00 +2.4186e+00 +2.1866e-01 +9.4805e-01 -5.6276e-02
1481 +8.105627866e+03 +8.105627866e+03 +8.237727866e+03 +8.237727866e+03 +2.6504e+00 -4.5827e+00 -6.7515e-01 -2.2414e+00 -4.3275e-01 -6.2007e-01 -1.3065e+00 +5.5316e-01 +7.9622e-01 -3.8621e+00 +3.3185e+00 +8.5476e-01 +1.6573e+00 -6.0071e-01 -1.3572e+00 +1.7042e+00 +2.3522e-01 +7.0305e-01 +1.1066e+00 -2.0832e+00
18373 +7.669522935e+03 +7.669522935e+03 +7.801622935e+03 +7.801622935e+03 -5.3125e-01 +8.8464e-01 -2.3931e+00 +9.7401e-01 -4.9229e+00 +8.9687e-01 +7.2459e-01 +3.8329e+00 -1.6542e+00 -2.3173e+00 -2.7358e-01 -1.0553e+00 +5.2634e-01 +2.7532e+00 -8.4783e-01 +1.6398e+00 +2.6583e+00 +5.1638e-01 +3.2081e+00 -1.5530e-01
144091 +7.543225561e+03 +7.543225561e+03 +7.675325561e+03 +7.675325561e+03 -1.1264e+00 +2.1058e+00 -1.6940e+00 +2.1099e+00 -3.8921e+00 -1.1331e+00 -1.2730e+00 +3.2434e+00 +6.4838e-01 -2.5967e+00 +2.6743e+00 +3.2389e+00 +3.3403e-01 +3.4376e-01 -2.2838e+00 +1.3456e+00 +2.7488e+00 -6.3924e-01 +2.2427e+00 -1.4346e-01
215453 +4.036359935e+03 +4.036359935e+03 +4.168459935e+03 +4.168459935e+03 +1.4743e+00 -1.5861e+00 +3.3417e+00 +3.1347e+00 -3.9296e+00 +1.7409e+00 -4.9981e-01 +1.2378e-01 -1.6537e-02 -1.3182e+00 +2.4418e+00 +6.1440e-01 +1.9647e+00 +1.4345e+00 -1.2127e+00 +3.5621e+00 +7.1307e-02 +1.3772e+00 +1.1914e+00 -2.8023e+00
744758 +3.917658034e+03 +3.917658034e+03 +4.049758034e+03 +4.049758034e+03 +1.0571e+00 -3.5530e+00 +2.3894e-02 -4.0985e+00 -9.0753e-01 -1.5756e+00 -1.8532e+00 +7.5237e-01 +1.8224e+00 -1.1944e+00 +6.4115e-01 +2.6649e-01 -5.6637e-01 +2.2619e+00 -5.0515e-02 +1.5950e+00 +1.3631e+00 +2.1841e+00 +2.1361e-01 -2.0267e+00
1480068 +3.726372932e+03 +3.726372932e+03 +3.858472932e+03 +3.858472932e+03 +1.1603e+00 +2.5644e+00 +1.0684e+00 -2.8170e+00 -3.0159e+00 -4.6061e-01 -1.6309e+00 -9.8921e-01 +1.8266e+00 +8.0667e-01 -2.1558e-01 +2.4911e+00 -1.0946e+00 +2.2795e+00 -1.4742e-01 +6.4697e-01 +1.3120e+00 +5.7802e-01 +2.2925e+00 -2.7789e+00
2453154 +3.581722527e+03 +3.581722527e+03 +3.713822527e+03 +3.713822527e+03 +8.8179e-02 -2.4952e+00 +2.8707e+00 -1.6889e+00 -1.5039e-01 -1.9286e+00 -9.2010e-01 +1.8216e+00 +2.6493e+00 -1.4809e+00 +1.4602e+00 +1.8876e+00 +7.5573e-01 +3.2169e+00 -1.6958e+00 +2.2378e+00 +2.4406e+00 +3.7058e-02 +3.0013e+00 -2.4893e+00
4611013 +3.402018702e+03 +3.402018702e+03 +3.534118702e+03 +3.534118702e+03 +2.6488e+00 +3.5914e+00 +2.4384e+00 -1.6625e+00 -1.7111e+00 +4.8056e-01 +1.7539e+00 +2.0525e+00 -4.2529e-01 -5.4540e-02 +1.2153e+00 +1.8140e+00 -1.7654e-01 +2.7131e+00 +4.6818e-02 +2.4089e+00 +2.2892e+00 +2.7226e+00 -1.5682e-02 -2.9453e+00
12290948 +8.828606904e+02 +8.828606904e+02 +1.014960690e+03 +1.014960690e+03 +2.5569e+00 -1.8201e+00 +2.8263e+00 -1.6030e+00 -3.2895e+00 +2.3202e+00 -7.3493e-01 +1.4377e+00 +2.6490e+00 -1.3201e+00 +1.1786e+00 +1.4880e+00 +1.5826e-01 +7.6498e-02 -6.0252e-01 +9.0146e-01 +2.0551e+00 +1.2693e+00 +1.3141e+00 -6.7816e-01
99228795 +6.805723106e+02 +6.805723106e+02 +8.126723106e+02 +8.126723106e+02 +2.2252e+00 -2.1476e+00 +1.4911e+00 -9.8275e-01 +1.9983e+00 +9.0138e-01 -2.6041e-01 +1.9284e+00 +2.7131e+00 -5.2091e-01 +1.3910e+00 +1.4539e+00 +3.8590e-01 +1.5713e+00 -5.0475e-01 +4.2217e-01 +6.3768e-01 +1.2565e+00 +1.8715e+00 -2.2158e+00
% function evaluation | noise-free fitness - Fopt (-6.067000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.986818700e+05 +2.986818700e+05 +2.986212000e+05 +2.986212000e+05 +3.7069e+00 -1.9411e-01 +8.3443e-01 +2.9463e+00 +4.9145e+00 -1.5984e+00 -4.7038e+00 +7.5911e-01 -1.4360e+00 +2.5147e-02 +4.9761e+00 -5.5384e-01 -3.5913e+00 +2.2981e+00 -2.1618e+00 +3.8169e+00 -3.1698e+00 -1.9623e-01 -2.9579e+00 -4.0563e+00
2 +2.345034225e+05 +2.345034225e+05 +2.344427525e+05 +2.344427525e+05 -3.0999e+00 +3.9940e+00 -1.0735e+00 +2.6161e+00 +4.4732e+00 +2.5002e-02 -2.6978e+00 +3.3363e+00 +2.7124e+00 +3.4731e+00 -4.5927e+00 -4.0863e+00 +4.1689e+00 -5.6036e-01 -1.9495e+00 +9.0301e-01 +7.2338e-01 +3.0745e+00 -3.9582e+00 +2.9914e+00
5 +1.168591499e+05 +1.168591499e+05 +1.167984799e+05 +1.167984799e+05 +2.1318e+00 -1.2189e-02 -4.7912e+00 -4.7927e-01 -2.6035e+00 +2.7570e+00 +1.7744e+00 -9.7354e-01 +1.1763e+00 -4.2486e+00 +3.7700e+00 -2.8723e+00 +2.9625e-01 +3.4501e+00 -3.5528e+00 +4.9034e+00 +2.7816e+00 -7.3716e-01 +4.4858e+00 +2.1093e+00
11 +1.118681057e+05 +1.118681057e+05 +1.118074357e+05 +1.118074357e+05 +4.2326e+00 -3.3584e+00 -4.2124e+00 +3.7548e+00 +3.0636e+00 -1.4176e+00 -3.8085e+00 +4.4511e+00 +1.0700e+00 +4.5987e+00 -8.4478e-01 +1.0337e-01 +2.9967e+00 +4.5605e-01 +2.4914e+00 +1.0308e+00 -4.3792e+00 -1.9701e+00 -2.5722e+00 +2.4029e+00
26 +8.786223083e+04 +8.786223083e+04 +8.780156083e+04 +8.780156083e+04 -2.6575e+00 -8.7935e-01 +2.7117e+00 -2.4836e+00 +2.0808e+00 -4.9775e+00 +1.1309e+00 -4.5782e+00 +3.1927e+00 -2.9689e+00 -5.0822e-01 -1.0418e+00 -1.4968e+00 +8.1775e-01 -4.6094e+00 -1.7144e+00 +1.6150e+00 -2.0393e+00 +2.2499e+00 +4.5349e+00
46 +7.413298883e+04 +7.413298883e+04 +7.407231883e+04 +7.407231883e+04 +2.1493e+00 -6.0556e-01 -2.3689e+00 -2.0499e+00 -8.5847e-01 +4.9051e+00 +1.0897e+00 -4.4084e+00 -1.5112e+00 -8.0993e-01 -8.6845e-01 -2.9218e+00 +2.9846e+00 +1.3269e-01 -3.8847e+00 +2.6858e+00 +1.9699e+00 -7.6162e-01 -2.5837e+00 +9.1348e-01
61 +7.394339942e+04 +7.394339942e+04 +7.388272942e+04 +7.388272942e+04 -9.7342e-01 +1.1422e+00 -1.8419e+00 +2.6922e+00 -2.1931e+00 +1.4755e+00 -1.5837e+00 +4.5532e+00 -1.7384e+00 -7.5641e-01 +3.3236e+00 -3.3306e+00 -1.9224e+00 +1.9706e+00 +6.6808e-01 +1.7405e+00 +2.1448e+00 -5.7110e-01 +7.3438e-01 +2.2015e+00
122 +4.929104656e+04 +4.929104656e+04 +4.923037656e+04 +4.923037656e+04 -2.8908e-01 +2.1581e+00 -3.1437e+00 +3.7868e+00 -3.3700e+00 -2.9048e+00 +1.3128e+00 -3.6254e+00 -1.9309e+00 +1.4536e+00 -1.5145e+00 -4.5112e-01 -2.8982e+00 +1.7674e+00 -4.0068e+00 -8.5330e-01 +5.9978e-01 -2.9633e+00 +2.6722e+00 -5.1834e-01
294 +3.050733991e+04 +3.050733991e+04 +3.044666991e+04 +3.044666991e+04 +2.5995e+00 -1.3180e+00 -1.7331e+00 -1.0462e+00 +1.1249e-01 -1.9966e+00 +3.7303e-01 -4.7267e+00 +6.2767e-01 +2.2155e+00 -1.8353e+00 -2.5823e+00 +2.8379e+00 +2.5325e+00 -3.4337e+00 +3.3327e+00 -2.7178e+00 -1.0836e+00 -1.2312e+00 +2.5337e+00
1521 +2.812550419e+04 +2.812550419e+04 +2.806483419e+04 +2.806483419e+04 -1.5033e+00 +3.6002e+00 +8.7779e-01 -1.0758e-01 +1.3488e+00 +3.6213e-01 +3.4485e+00 +1.0745e-01 +2.8267e+00 +1.0786e+00 +1.2004e+00 -1.0473e+00 +7.1814e-01 +2.8095e+00 +2.1349e+00 +4.3364e+00 -1.8708e+00 -1.9335e+00 +3.4672e+00 -9.8709e-01
1687 +1.349971971e+04 +1.349971971e+04 +1.343904971e+04 +1.343904971e+04 -7.1093e-01 +3.6131e+00 +2.7082e+00 +2.0716e+00 +3.4928e+00 -2.4376e+00 +4.8752e-01 -6.3336e-02 +9.1569e-01 -2.5224e+00 -2.2368e+00 -2.0440e+00 +1.6448e+00 +1.2738e+00 -7.3487e-01 +3.2411e+00 +2.7801e-01 -6.4039e-01 +2.2049e+00 +1.5034e+00
12466 +1.176539722e+04 +1.176539722e+04 +1.170472722e+04 +1.170472722e+04 -4.1330e+00 -3.8308e+00 +1.5562e+00 +7.6784e-01 +2.1573e+00 +1.5743e+00 -2.0694e+00 -7.7194e-01 +4.8084e+00 -2.0005e+00 -3.2432e-01 -3.0934e+00 -3.2474e-01 +2.3944e+00 -2.4553e+00 +2.8380e+00 +9.6564e-02 -1.8895e+00 +4.6553e-01 +2.7878e-01
38163 +9.729723283e+03 +9.729723283e+03 +9.669053283e+03 +9.669053283e+03 -1.0560e+00 -4.6668e-01 +4.4610e+00 -3.6849e-01 +3.4583e+00 +7.7059e-01 +2.5065e+00 +3.0820e+00 +6.4100e-01 +5.6712e-01 -3.0786e+00 +2.8914e-01 +2.4130e+00 +1.0432e+00 -1.1605e+00 +2.9364e+00 -3.2744e-01 -2.7744e+00 +2.4336e+00 +3.8902e-01
46039 +8.425056213e+03 +8.425056213e+03 +8.364386213e+03 +8.364386213e+03 -2.1323e+00 +3.3435e+00 -3.7106e+00 -1.1035e+00 +3.7740e+00 +1.8841e+00 +3.1189e+00 +2.1330e+00 +3.2249e-01 -2.5415e-01 -2.3314e+00 -3.8300e+00 -2.6993e-01 +2.5105e+00 -1.2947e+00 +8.6102e-01 -8.0025e-01 -3.0394e+00 +2.5778e-01 +2.9718e+00
175512 +3.697034281e+03 +3.697034281e+03 +3.636364281e+03 +3.636364281e+03 +4.0407e+00 +8.4886e-02 -2.8817e-01 +9.9951e-01 +3.0329e+00 -1.0940e+00 +2.9605e+00 +8.5096e-01 +2.3169e+00 +1.0289e+00 -3.0178e+00 +7.2828e-01 +1.9791e+00 +3.0653e+00 -1.7657e+00 +2.9057e+00 +2.0435e-01 -1.4407e+00 +5.4067e-01 +2.1895e+00
321212 +1.960878733e+03 +1.960878733e+03 +1.900208733e+03 +1.900208733e+03 -1.6640e+00 +5.9651e-01 -5.0242e-01 +2.5544e-01 +3.3196e-01 -3.9293e-01 +2.8597e+00 -2.5067e+00 +3.6426e-01 +2.3357e+00 +4.9248e-01 -2.6559e+00 +5.6025e-01 +1.8641e+00 -1.0585e+00 +1.9918e+00 +4.2975e-01 -1.9952e+00 +1.4421e+00 +2.3961e+00
5912410 +1.923388426e+03 +1.923388426e+03 +1.862718426e+03 +1.862718426e+03 +6.5449e-01 +2.0429e+00 +1.0360e+00 +6.9222e-01 +1.5503e+00 -9.9238e-01 +1.5708e+00 -3.3316e+00 -1.5746e+00 +1.1900e+00 -1.3505e+00 -2.1077e+00 +4.8006e-01 +6.8009e-01 -6.2431e-01 -4.4608e-05 -1.0472e+00 -1.3990e+00 +2.3668e+00 +1.6165e+00
38580198 +1.469512157e+03 +1.469512157e+03 +1.408842157e+03 +1.408842157e+03 -2.7115e+00 +1.8135e+00 +1.8121e+00 +1.0636e+00 -6.9528e-01 +3.3446e+00 +2.1488e+00 -2.0809e+00 -1.1792e+00 +1.2134e+00 +4.4401e-01 -1.1534e+00 +1.6870e+00 +2.1758e+00 -2.1404e+00 -1.2832e-01 -3.0315e+00 -1.7899e+00 +1.8533e+00 +2.0288e+00
66668550 +1.114756520e+03 +1.114756520e+03 +1.054086520e+03 +1.054086520e+03 -2.7979e+00 -1.7517e+00 +2.2951e+00 +2.5258e-01 +2.3271e+00 +2.3436e+00 +2.5224e+00 +8.1282e-01 +1.4671e+00 +1.1652e+00 -3.3296e+00 -1.0734e+00 +1.6139e+00 +5.7896e-01 -3.9086e-01 +1.9875e+00 -8.9302e-01 -1.3888e+00 +2.5982e+00 +1.7662e+00
160805198 +5.509979432e+02 +5.509979432e+02 +4.903279432e+02 +4.903279432e+02 +2.2241e+00 -2.2980e+00 -2.2780e+00 +2.9151e+00 +1.2278e+00 +1.5176e-02 -6.0113e-01 -7.9567e-01 +2.1471e+00 +2.5883e+00 +1.9270e-01 +7.3951e-02 +7.7790e-01 +2.4745e+00 -1.2395e+00 +2.9046e-01 -2.0966e+00 -5.7771e-01 +1.6177e+00 +1.0892e+00
% function evaluation | noise-free fitness - Fopt (7.560000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.057673262e+05 +1.057673262e+05 +1.058429262e+05 +1.058429262e+05 -1.4553e+00 -2.4041e+00 +2.8436e+00 -2.5934e-01 +3.7226e+00 -3.8128e+00 -5.4597e-01 -3.0032e+00 +1.6322e+00 +2.9092e+00 +4.9556e+00 +8.9368e-01 -1.7582e-01 -3.6895e-01 -4.0715e+00 +1.2758e+00 +3.4559e+00 +3.7539e+00 -2.3072e+00 +2.3041e+00
8 +9.895527202e+04 +9.895527202e+04 +9.903087202e+04 +9.903087202e+04 +6.9820e-01 -4.3647e+00 +2.1373e+00 -3.2636e+00 -3.3828e+00 +3.5525e+00 -2.0441e+00 -2.2078e+00 -3.7470e+00 -1.1157e+00 +1.0685e+00 -1.8243e+00 +7.8942e-01 -2.1743e+00 -2.8678e-01 +3.7467e+00 +4.8657e+00 +1.5682e+00 -4.6106e+00 -2.5761e+00
13 +7.997835269e+04 +7.997835269e+04 +8.005395269e+04 +8.005395269e+04 +4.4670e-01 -3.7633e+00 -1.2728e+00 -8.1439e-01 +2.4401e+00 -3.1097e-01 -3.2450e+00 +2.7590e+00 +4.5414e-01 +1.5218e+00 +2.5293e-01 -4.6110e+00 +1.6496e+00 +3.5073e+00 -4.5946e+00 -4.5564e+00 +6.5934e-01 -3.3400e+00 +8.1908e-02 +6.2635e-01
30 +4.269257606e+04 +4.269257606e+04 +4.276817606e+04 +4.276817606e+04 +2.8349e+00 +1.8773e+00 +4.2070e+00 -4.0383e-01 -3.8233e+00 +2.7992e+00 +8.0600e-01 -1.1181e+00 -3.2795e-01 +3.8563e+00 -3.7281e+00 -1.5558e+00 -4.3553e+00 -3.7880e+00 -6.2864e-01 +5.0561e-01 +1.9186e+00 -1.6293e+00 -1.2213e+00 -2.9208e-01
110 +4.055480555e+04 +4.055480555e+04 +4.063040555e+04 +4.063040555e+04 -1.9865e+00 +3.1414e+00 +9.8145e-01 +9.5082e-01 +1.2989e+00 -1.6292e+00 +5.4797e-01 +4.3011e+00 +1.0504e+00 +1.7443e+00 -9.9264e-01 +8.6184e-01 -8.5403e-01 -9.3217e-01 +4.8981e-01 -3.8172e-01 +2.5585e+00 +9.2317e-01 -5.1569e-01 +2.1803e+00
470 +3.277849185e+04 +3.277849185e+04 +3.285409185e+04 +3.285409185e+04 +1.7412e+00 -1.1958e+00 +4.0869e+00 +1.6315e+00 -2.1144e+00 +2.2200e+00 +2.8138e+00 +1.5306e+00 -2.5609e+00 +3.9236e+00 -1.3076e+00 +8.7401e-01 -1.4021e+00 +2.0361e+00 +1.2267e+00 +4.6489e+00 +6.1521e-01 -3.3149e+00 -4.3351e-01 +4.2924e+00
620 +2.171401084e+04 +2.171401084e+04 +2.178961084e+04 +2.178961084e+04 +2.0680e+00 +2.9291e+00 -1.2655e+00 -3.0541e+00 +6.9059e-01 +2.0102e+00 -3.6527e+00 -2.2774e+00 +5.2056e-01 +1.0053e+00 +1.3466e+00 -1.1191e+00 -1.9777e+00 +2.6402e+00 +1.7925e+00 +1.4536e+00 +1.4201e+00 +1.2517e+00 -1.8434e+00 +1.8276e+00
2959 +2.003024382e+04 +2.003024382e+04 +2.010584382e+04 +2.010584382e+04 +3.5397e+00 +4.8555e+00 +2.0175e+00 +2.0748e+00 -4.6328e+00 +1.8337e+00 -3.2545e+00 +4.4906e-01 -4.7899e+00 +2.5145e+00 +2.0418e+00 -2.5825e+00 -1.6413e+00 -3.1143e-01 -3.9127e+00 +1.2228e+00 +4.2790e-02 -7.7337e-01 -1.8649e+00 +3.5689e+00
5028 +1.724679840e+04 +1.724679840e+04 +1.732239840e+04 +1.732239840e+04 -1.1026e+00 +3.3516e+00 -3.4585e+00 +3.1263e+00 -3.4484e+00 -3.2277e+00 -1.8781e+00 +5.8733e-01 +1.5998e+00 +3.3412e+00 +1.3456e+00 -3.2034e+00 -8.2913e-01 +6.7226e-01 +2.7314e-01 -6.0146e-01 +9.5842e-01 -4.9744e-01 -6.3987e-01 +2.5503e+00
8659 +1.054840785e+04 +1.054840785e+04 +1.062400785e+04 +1.062400785e+04 +2.7436e+00 +2.5457e+00 +4.5959e-03 +3.9068e+00 -3.1048e+00 +6.1346e-01 -3.9487e+00 -1.8617e+00 -1.9504e+00 -8.2912e-01 -3.2605e-01 -1.7125e+00 -2.1956e+00 -6.5650e-01 -3.2969e+00 +2.4505e+00 +3.1643e+00 -3.8159e-01 -2.8434e+00 +9.2490e-02
12452 +9.354466110e+03 +9.354466110e+03 +9.430066110e+03 +9.430066110e+03 +3.6489e+00 -3.0977e+00 +2.7746e-01 -1.7419e+00 +4.0619e+00 +2.7978e+00 +7.3133e-02 -1.2923e+00 -2.9763e+00 +2.7420e+00 -1.9416e+00 -1.0103e+00 -2.7560e+00 +6.5422e-03 -3.3221e+00 +1.4711e+00 +1.9989e+00 -2.6968e+00 -7.8405e-01 +2.0024e+00
22495 +8.126373984e+03 +8.126373984e+03 +8.201973984e+03 +8.201973984e+03 +4.5262e+00 +1.8563e+00 +2.3865e-01 +5.6192e-01 -4.3595e+00 -1.1841e+00 -3.9492e+00 +5.1214e-01 +4.3292e-01 +3.3419e+00 -3.2748e+00 +1.0031e+00 -1.0293e+00 +1.1301e+00 -1.6401e-01 +8.3588e-01 +3.3525e+00 -2.8756e-01 -6.7210e-01 +1.6309e+00
83471 +5.629962839e+03 +5.629962839e+03 +5.705562839e+03 +5.705562839e+03 -1.9043e+00 +2.8764e+00 +5.1571e-01 +1.6819e+00 +1.3845e+00 -1.4150e+00 -2.6117e+00 +6.9214e-01 -1.3633e+00 +3.1900e-01 -1.3654e-01 +9.7444e-01 +2.1824e-01 +3.5264e+00 -1.1502e-01 +7.9928e-01 +1.1179e+00 -2.0545e+00 -1.4968e+00 +1.4975e+00
490596 +5.437596381e+03 +5.437596381e+03 +5.513196381e+03 +5.513196381e+03 +2.1924e+00 +1.5803e+00 +1.9115e+00 -3.5895e+00 -2.1089e+00 +2.9503e+00 +2.4129e-01 -3.5606e+00 +2.8800e+00 +1.7841e+00 +1.8011e-01 -9.3803e-01 -2.2578e-02 +1.7791e+00 -1.2765e+00 +2.3557e+00 +2.4546e+00 -2.5734e+00 -1.6920e+00 +6.7750e-01
530090 +5.328416082e+03 +5.328416082e+03 +5.404016082e+03 +5.404016082e+03 -3.2666e+00 -1.9253e+00 +2.6487e+00 +1.5980e+00 -4.1108e+00 -1.5375e+00 -3.3330e+00 -1.7312e+00 -1.9883e+00 -4.6248e-01 -2.6909e+00 -2.7268e+00 +1.3169e+00 +3.2380e+00 -3.3512e-01 +2.0113e+00 +2.8906e+00 -7.6234e-01 -3.1790e+00 +4.7831e-01
894030 +5.071458998e+03 +5.071458998e+03 +5.147058998e+03 +5.147058998e+03 +2.7420e+00 +6.5125e-01 +4.0696e+00 -2.2757e+00 +1.8881e+00 -8.9582e-01 -2.5648e+00 -9.2266e-01 +3.7784e-01 +1.0216e+00 -1.8680e+00 -9.0581e-01 +1.1226e+00 +1.7548e+00 -2.3195e+00 +2.2081e+00 -2.3989e-01 -9.4369e-01 -1.9032e+00 +1.5265e+00
1553241 +2.207390876e+03 +2.207390876e+03 +2.282990876e+03 +2.282990876e+03 -4.9167e-01 +1.6327e+00 +2.7702e+00 -3.0704e-01 -4.6208e-01 -1.2025e+00 +1.0010e-01 -2.4587e+00 -6.9144e-02 +8.4848e-01 -1.7284e-01 -3.3119e+00 +7.1122e-01 +3.7866e+00 -6.5533e-01 +2.2988e+00 +4.8881e-01 -5.5753e-01 -1.8144e+00 +6.4010e-01
7845481 +1.739054428e+03 +1.739054428e+03 +1.814654428e+03 +1.814654428e+03 +1.0289e+00 -1.3774e+00 -3.3844e-01 -2.4953e+00 -1.2237e+00 -1.3422e+00 +6.4345e-01 -3.8518e+00 +2.5465e-01 +2.7148e+00 +2.1385e-01 -9.4113e-01 -2.3943e+00 +8.7980e-01 -2.4971e+00 +1.9443e+00 -9.6587e-02 -1.4470e+00 -5.1870e-01 +8.7359e-01
10322925 +1.400761485e+03 +1.400761485e+03 +1.476361485e+03 +1.476361485e+03 -2.9578e+00 -1.7521e+00 +4.9261e-01 +2.6562e+00 -2.1228e+00 -1.3283e+00 -1.1807e-01 -2.7144e+00 -2.7040e+00 +2.2686e+00 -1.0977e-01 -2.8771e+00 -1.1215e+00 +1.7078e+00 -1.9508e+00 +1.8472e+00 +1.8739e+00 -2.0364e+00 -5.1628e-01 +2.6458e+00
21013929 +1.221820335e+03 +1.221820335e+03 +1.297420335e+03 +1.297420335e+03 +2.0908e-01 -1.4011e+00 +3.1489e+00 -6.4172e-01 -4.6243e-01 +3.4037e+00 -1.0159e+00 -3.1183e+00 +9.0983e-01 +1.0117e+00 -1.0354e+00 -4.0808e-01 -1.5203e+00 +1.8193e+00 -1.9945e-01 +9.6678e-01 +1.3476e+00 -2.9059e+00 -8.5623e-01 +8.5568e-01
86984962 +1.175150958e+03 +1.175150958e+03 +1.250750958e+03 +1.250750958e+03 -2.1465e+00 +1.9882e+00 -6.6152e-01 -8.6428e-01 +5.7693e-02 -7.2759e-01 -1.3697e+00 -4.1424e-01 -2.5131e+00 +2.7161e+00 +6.0637e-01 -1.4741e+00 -1.9024e+00 -5.0290e-01 -1.1111e+00 +5.4553e-01 +9.0967e-01 -2.2966e+00 -2.4667e+00 +2.1667e+00
103486552 +9.732336951e+02 +9.732336951e+02 +1.048833695e+03 +1.048833695e+03 +3.3224e+00 +3.0495e+00 +2.0018e+00 -7.1608e-01 -1.1025e+00 +1.4800e+00 -1.2512e+00 -1.8747e+00 -1.7045e+00 +8.9989e-01 -3.1383e+00 -1.6649e+00 -9.9658e-01 +4.3427e-01 -6.9015e-01 +2.9891e+00 +1.3043e+00 -2.1130e+00 -8.8328e-01 +2.4547e+00
125144374 +4.659083288e+02 +4.659083288e+02 +5.415083288e+02 +5.415083288e+02 -2.6222e+00 +3.3121e-01 +2.1245e-01 +7.6731e-01 -1.4759e+00 -1.2366e+00 +5.6856e-01 -2.9643e+00 -1.8325e+00 -5.7218e-02 -1.9113e+00 -3.6424e-02 -3.2009e+00 +2.2449e+00 -2.2934e+00 +1.0246e+00 +8.9731e-01 -2.2288e+00 -1.3161e+00 +1.5463e+00
% function evaluation | noise-free fitness - Fopt (-1.699200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.401129901e+05 +2.401129901e+05 +2.399430701e+05 +2.399430701e+05 -2.4397e+00 -4.4919e+00 +3.4958e+00 -6.8739e-01 +2.3663e+00 -2.2878e+00 -1.0081e+00 +1.8604e+00 -3.1778e+00 -3.8762e+00 +1.0540e+00 -6.8592e-01 +2.3361e+00 -3.3695e+00 -4.6955e+00 +3.3733e+00 -7.7764e-01 -3.8533e+00 -2.3227e+00 +3.4834e+00
4 +9.644191828e+04 +9.644191828e+04 +9.627199828e+04 +9.627199828e+04 +4.6777e+00 -3.1245e+00 -4.4928e+00 -2.0486e+00 -3.5777e+00 -8.1253e-01 +3.1778e+00 +1.0620e+00 +2.2555e+00 -3.2714e+00 +4.9050e-01 +2.7782e+00 -6.0795e-02 +3.4012e+00 -3.3836e+00 -1.1024e+00 -8.6099e-01 +2.4002e+00 +9.4831e-01 +3.9734e+00
18 +5.402266588e+04 +5.402266588e+04 +5.385274588e+04 +5.385274588e+04 -2.2499e+00 -1.0554e+00 +1.8533e+00 -9.2471e-01 +4.1813e+00 +2.7845e+00 -2.9093e+00 +2.5812e+00 -2.6671e+00 +3.4506e+00 +1.9499e+00 -1.1197e+00 +5.1805e-01 -1.5762e+00 +2.8744e+00 -2.3414e+00 +5.2608e-03 +1.2203e-01 -2.9838e+00 -8.1995e-01
53 +5.161595254e+04 +5.161595254e+04 +5.144603254e+04 +5.144603254e+04 +1.3958e+00 +4.9439e+00 -1.5458e+00 +3.1732e+00 +3.0941e-01 -2.0792e+00 +3.7109e+00 -3.0618e+00 +6.5713e-02 -9.2523e-01 -3.8467e+00 +1.2905e+00 -1.4187e+00 +6.6219e-01 -1.3435e+00 +2.6743e+00 -4.1625e+00 +2.0600e+00 +1.7368e+00 +4.2602e+00
113 +4.776527529e+04 +4.776527529e+04 +4.759535529e+04 +4.759535529e+04 -4.3934e+00 -1.0338e+00 +3.3056e+00 +2.6874e+00 -1.3493e+00 +6.0954e-01 -2.0442e-01 +8.6811e-01 -8.0717e-01 +4.0749e+00 -3.8238e+00 +2.8179e+00 -3.5365e+00 +1.0729e+00 +4.2223e+00 -1.4759e+00 -3.3100e+00 +4.5608e+00 -5.7245e-02 +2.5688e+00
315 +2.078155286e+04 +2.078155286e+04 +2.061163286e+04 +2.061163286e+04 +1.5494e+00 +2.7390e+00 +1.6267e+00 +3.4019e+00 +2.3181e-01 -4.2982e-01 -2.4771e+00 -5.0771e-01 +1.5409e+00 +3.7886e+00 -1.5524e+00 +4.1381e+00 +7.2140e-01 +3.2930e+00 +4.2784e+00 +1.6905e+00 -2.3553e+00 +3.1265e+00 -1.8915e+00 +2.0792e+00
2079 +1.546377090e+04 +1.546377090e+04 +1.529385090e+04 +1.529385090e+04 +6.6507e-03 +3.7801e-01 -2.3215e+00 -4.1073e+00 +4.5179e+00 -1.6598e+00 +1.1512e-01 -4.1525e+00 +1.5330e+00 +2.1411e+00 -2.0175e+00 +3.4166e+00 +2.0817e+00 +3.8157e+00 +1.1127e+00 +2.5860e+00 -3.3051e+00 +1.5241e+00 -2.1346e+00 +5.7107e-01
